,Date,TotalRew_proj,NG_proj,Coal_proj,TotalNet_proj,Solar_proj,Wind_proj,monthcnt
67,2025-06-01,78.15565959863342,182.15949707674253,5.736049246337764,343.29058532524584,13.354751310066336,35.87239921425292,67
68,2025-07-01,71.71408575225351,218.41239648301968,26.134096970171584,397.56842668698687,13.21334234084522,32.851040576774764,68
69,2025-08-01,68.69890335033101,216.380169495818,30.03639974619507,396.2110734427884,12.744944452413778,32.912077000943434,69
70,2025-09-01,66.68874441161779,190.67773485631068,12.50460042182774,343.86128925574235,12.235657221961224,32.225676543170856,70
71,2025-10-01,68.92781082989605,174.519829522322,0.0,308.42152805227363,11.128537276248894,35.4120591635504,71
72,2025-11-01,70.9375641393876,158.96789396120968,1.1123425165399814,305.31820614353677,9.883952110937779,37.221437096044205,72
73,2025-12-01,73.92660738087129,164.1027569866744,8.122323882342316,326.378846392486,9.302796855274288,38.87683846944695,73
74,2026-01-01,76.51276226541701,171.4428414224028,14.367055818522212,347.1472932609752,9.688459462991537,39.792801887851695,74
75,2026-02-01,72.32292474254932,162.21849412940975,0.0,299.6282032053886,10.051374344654462,37.48915723308729,75
76,2026-03-01,79.91246763401732,166.36596831199336,0.0,309.9319252135168,11.93474326366042,40.532005780812256,76
77,2026-04-01,83.82662037527828,158.33899193677726,0.0,284.39701552289006,12.89024514823749,43.383142063168876,77
78,2026-05-01,85.31548210472413,172.08087444626568,0.0,318.09417955329036,13.334464799039528,39.80393402544468,78
79,2026-06-01,80.70166296047499,190.9999872685634,0.0,343.3468921189914,14.210568027162962,37.82244777241079,79
80,2026-07-01,74.25352681608504,227.24791561238172,13.680092006198725,397.6231523234536,14.069079608485804,34.79001390145466,80
81,2026-08-01,71.24221493163326,225.17960696114181,17.581002582437037,396.26544017958327,13.600740347171211,34.85821945584039,81
82,2026-09-01,69.2290049536784,199.55821132046813,0.048901534009716766,343.9158876732732,13.091454103427642,34.170018713272775,82
83,2026-10-01,71.46791819104979,183.37383289535325,0.0,308.47660587262544,11.98432094666944,37.35635720090906,83
84,2026-11-01,73.47910735052609,167.79849749554376,0.0,305.37323348606947,10.739735841223505,39.16469684289946,84
85,2026-12-01,76.46848769997841,172.8679450378625,0.0,326.43317256249327,10.158560258733173,40.82157779859489,85
86,2027-01-01,79.05376271837922,180.25972023489345,1.9121540520345168,347.2015570800918,10.544231552329148,41.736342031578346,86
87,2027-02-01,74.86334856949856,171.05861518762805,0.0,299.6829736154661,10.907134647616145,39.43308684279037,87
88,2027-03-01,82.45387473500789,175.17728244110677,0.0,309.9865679618277,12.790526494290551,42.475818619426455,88
89,2027-04-01,86.36888207383802,167.13477051916408,0.0,284.4514669691187,13.746025162657444,45.32970411974741,89
90,2027-05-01,87.85792162378614,180.8596217222401,0.0,318.14852252174177,14.19023310791677,41.75016594535375,90
91,2027-06-01,83.24279198412863,199.80658472543655,0.0,343.40103487670905,15.066340654182484,39.76641732916739,91
92,2027-07-01,76.79699490342918,236.05701079853955,1.225433153752558,397.6777089665539,14.92487322985574,36.73835402614389,92
93,2027-08-01,73.78430341279899,234.00683151695716,5.126770942362142,396.320090768637,14.456518476449752,36.803730459979356,93
94,2027-09-01,71.77218094642886,208.34471752235797,0.0,343.9704776173351,13.947231971970426,36.116240155436415,94
95,2027-10-01,74.01114878356042,192.17364060280818,0.0,308.53107032770373,12.840102306203105,39.302596058972135,95
96,2027-11-01,76.02182614906468,176.61006254116418,0.0,305.42771115427445,11.595517184937924,41.11134543672007,96
97,2027-12-01,79.01108633984575,181.71237834238647,0.0,326.4878337703517,11.014346973768511,42.767642511729356,97
98,2028-01-01,81.59667497749227,189.07818131932967,0.0,347.2562346089846,11.400015972139439,43.682879973684294,98
99,2028-02-01,77.40646636102842,179.86539811708718,0.0,299.7375185385792,11.762922181951296,41.379471091747476,99
100,2028-03-01,84.99664204861,183.99853952192126,0.0,310.0411463018183,13.646307970037904,44.42224894921585,100
101,2028-04-01,88.91134477491858,175.96383349466072,0.0,284.5060953845424,14.60180748828152,47.27504953842423,101
102,2028-05-01,90.40032094257595,189.69724214257562,0.0,318.2031793324219,15.046018526705707,43.69564164433064,102
103,2028-06-01,85.7856584155399,208.63021171620048,0.0,343.4557440947602,15.922124931911473,41.712785814004356,103
104,2028-07-01,79.33902759962457,244.87938279570182,0.0,397.73230984553453,15.780651959872117,38.68299777406296,104
105,2028-08-01,76.32682785543966,242.8200943432167,0.0,396.3746670562266,15.312301300218456,38.74949065059728,105
106,2028-09-01,74.31431775674056,217.17843944078635,0.0,344.02506977942113,14.803014864638,38.0617199891973,106
107,2028-10-01,76.5532661323487,201.0006791290533,0.0,308.58569533791734,13.695884276383733,41.24806901997754,107
108,2028-11-01,78.56412592155502,185.43119354802317,0.0,305.4823327058062,12.451299159298756,43.05665670560708,108
109,2028-12-01,81.55342894165967,190.516994567249,0.0,326.54240727835185,11.870127528769176,44.713184194738865,109
110,2029-01-01,84.13890579294885,197.89584738519451,0.0,347.3108038447737,12.255797133648455,45.628234908543384,110
111,2029-02-01,79.94862391656713,188.6889319164433,0.0,299.7921224853958,12.618702520453722,43.324886677819855,111
112,2029-03-01,87.53892452840448,192.81480072874604,0.0,310.0957415013982,14.502089909509316,46.36764635062347,112
113,2029-04-01,91.45373583071613,184.77617259994247,0.0,284.5606774763246,15.45758920317481,49.22087507326378,113
114,2029-05-01,92.94273459033971,198.50528152707275,0.0,318.25775399143214,15.901799424236732,45.641415767260646,114
115,2029-06-01,88.32790556580986,217.4452821527359,0.0,343.51030503556217,16.777906130965174,43.65820762099822,115
116,2029-07-01,81.88157192624462,253.695083808557,0.0,397.7868991452849,16.636434624897124,40.62910020597372,116
117,2029-08-01,78.86919690409256,251.64037229372082,0.0,396.4292627930452,16.168082883478082,40.69515250591271,117
118,2029-09-01,76.85682497295377,225.98843764242974,0.0,344.07966136091494,15.658796429691249,40.0074924804367,118
119,2029-10-01,79.09578028542191,209.8140354265797,0.0,308.64027832105086,14.551666085202204,43.1938442233805,119
120,2029-11-01,81.10657505157423,194.24751810118752,0.0,305.53691659428796,13.307080967012613,45.0024957168195,120
121,2029-12-01,84.09586280560663,199.34161703559013,0.0,326.59700374275866,12.725909711545947,46.65893227869663,121
122,2030-01-01,86.68137950199416,206.71391291117146,0.0,347.365401427479,13.111579156156685,47.57405668805612,122
123,2030-02-01,82.49112373835733,197.5040491773568,0.0,299.84671098210634,13.4744847604397,45.27068452282607,123
124,2030-03-01,90.08137982222746,201.63357213150368,0.0,310.15033228779447,15.357871726442633,48.31345137175946,124
125,2030-04-01,93.99615242373855,193.59691467757344,0.0,284.6152716938317,16.31337107945242,51.1665111420926,125
126,2030-05-01,95.48514313068796,207.32818401580462,0.0,318.3123501545493,16.757581516500586,47.58707212453248,126
