Date,Solar_proj
2035-05-01,21.03649067696689
2035-06-01,21.91259732069376
2035-07-01,21.771125508318747
2035-08-01,21.302773992928866
2035-09-01,20.79348754294616
2035-10-01,19.68635714752366
2035-11-01,18.44177202956487
2035-12-01,17.860600695730792
2036-01-01,18.246270173828794
2036-02-01,18.60917573267098
2036-03-01,20.492562787068533
2036-04-01,21.448062127678643
2036-05-01,21.892272519597626
2036-06-01,22.768379163297368
2036-07-01,22.62690735079047
2036-08-01,22.158555835497914
2036-09-01,21.649269385516845
2036-10-01,20.542138990072413
2036-11-01,19.297553872113724
2036-12-01,18.716382538245902
2037-01-01,19.102052016358325
2037-02-01,19.464957575180946
2037-03-01,21.34834462961656
2037-04-01,22.30384397022133
2037-05-01,22.748054362120882
2037-06-01,23.624161005827798
